POINT_X,POINT_Y,PLA,A,AC,CIB,CICCB,DBB,DOB,P,CUS_1,CUS_2,CUS_3,CUS_4,CUS_5,OC_1,OC_2,OC_3,OC_4,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
722419.704561,4365883.27311,0.0003442408650125,0.6087275957722876,1.0,0.0485917990557122,0.3878073522382225,0.6038087131658678,0.7716023913246178,0.0152389615347682,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722427.442452,4365883.28053,0.0007867185451253,0.609929535532004,1.0,0.0485917990557122,0.3859380766783042,0.5980133801974211,0.7716023913246178,0.0257343353168416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722435.180266,4365883.28796,0.0013724444972137,0.6089279402935793,1.0,0.0480737655243004,0.3840354484041003,0.5922187552883182,0.7658469057846724,0.0333378911860481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722442.918081,4365883.2954,0.0019622789303149,0.6090948516041982,1.0,0.0475510233927892,0.3820994674156112,0.5864241303792154,0.760134181326938,0.0420567439254462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722450.655976,4365883.30277,0.0025597096604671,0.6090948516041982,1.0,0.0470259532173623,0.3801323528110065,0.5806295054701125,0.7544640444784645,0.0420567439254462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722458.393792,4365883.31022,0.0031674306847457,0.6089946793435523,1.0,0.0464973472158384,0.3781308256243339,0.5748348805610096,0.7488649448030757,0.0480734368645916,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722466.131608,4365883.31768,0.0037866484112877,0.6092951961254899,1.0,0.0459652053882174,0.3760970387120268,0.5690402556519067,0.7433511070826837,0.0583745602367483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722473.869502,4365883.32515,0.004259132508392,0.6061233080408689,1.0,0.0454295627426783,0.3740310583158215,0.5646942759066523,0.0,0.0729376674216465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722481.60732,4365883.33263,0.0049005466594721,0.6061233080408689,1.0,0.0448903842710421,0.3719305990958119,0.5589004033106023,0.0,0.0729376674216465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722489.345215,4365883.34011,0.0037342387985082,0.5829187509361476,1.0,0.0448903842710421,0.3705124960026217,0.5531064864608433,0.0,0.0920299577542681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722388.747591,4365890.95051,0.0,0.6105973081491908,1.0,0.2082565950399028,0.3960925042995648,0.6253253975222172,0.7926770996190101,0.018694629704903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722396.485397,4365890.95782,0.0,0.6093953683861357,1.0,0.2056346924684182,0.3943465708528526,0.6195278518683208,0.7867511769055462,0.0127225150513641,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
