grid_cod,POINT_X,POINT_Y,Value
8935,722388.741952,4365898.65735,2
8936,722396.479825,4365898.66475,1
8937,722404.217624,4365898.67207,1
8938,722411.955422,4365898.67948,1
8939,722419.693297,4365898.6869,1
8940,722427.431095,4365898.69432,1
8941,722435.168894,4365898.70175,1
8942,722442.906773,4365898.70911,1
8943,722450.644573,4365898.71656,1
8944,722458.382451,4365898.72401,1
8945,722466.120252,4365898.73147,1
8946,722473.858054,4365898.73894,1
8947,722481.595935,4365898.74634,1
8948,722489.333738,4365898.75383,1
8949,722497.071541,4365898.76132,1
8950,722504.809422,4365898.76882,3
8951,722512.547227,4365898.77633,1
8952,722520.285034,4365898.78377,1
8953,722528.022916,4365898.79129,3
8954,722535.760722,4365898.79882,3
9271,722373.260734,4365906.34951,2
9272,722380.998522,4365906.35689,1
9273,722388.736312,4365906.36419,1
9274,722396.474178,4365906.37159,2
9275,722404.211967,4365906.37899,2
9276,722411.949834,4365906.3864,1
9277,722419.687624,4365906.39381,1
9278,722427.425417,4365906.40116,1
9279,722435.163286,4365906.40859,1
9280,722442.901078,4365906.41603,1
9281,722450.63887,4365906.42348,1
9282,722458.376742,4365906.43086,1
9283,722466.114536,4365906.43832,1
9284,722473.852407,4365906.44579,1
9285,722481.590202,4365906.45327,1
9286,722489.327997,4365906.46075,1
9287,722497.065872,4365906.46817,1
9288,722504.803668,4365906.47567,3
9289,722512.541464,4365906.48318,1
9290,722520.279339,4365906.49069,1
9291,722528.017136,4365906.49822,1
9292,722535.754937,4365906.50567,1
9293,722543.492813,4365906.51321,1
9294,722551.230612,4365906.52076,2
9295,722558.968489,4365906.52832,2
9609,722373.255109,4365914.05634,1
9610,722380.992889,4365914.06372,1
9611,722388.730747,4365914.07111,1
9612,722396.468528,4365914.0785,1
9613,722404.206312,4365914.08582,1
9614,722411.944171,4365914.09323,1
9615,722419.681953,4365914.10065,2
9616,722427.419814,4365914.10807,2
9617,722435.157597,4365914.11551,1
9618,722442.895384,4365914.12287,1
9619,722450.633246,4365914.13032,1
9620,722458.371031,4365914.13777,1
9621,722466.108817,4365914.14523,1
9622,722473.846683,4365914.15263,1
9623,722481.584469,4365914.16011,1
9624,722489.322334,4365914.16759,1
9625,722497.060122,4365914.17509,2
9626,722504.79791,4365914.18259,2
9627,722512.535701,4365914.19002,1
9628,722520.273568,4365914.19754,1
9629,722528.011358,4365914.20506,1
9630,722535.749226,4365914.21259,1
9631,722543.487017,4365914.22013,2
9632,722551.224811,4365914.2276,1
9633,722558.96268,4365914.23516,1
9634,722566.700473,4365914.24272,1
9635,722574.438344,4365914.25029,2
9946,722365.51171,4365921.75587,2
9947,722373.249482,4365921.76324,1
9948,722380.987256,4365921.77054,1
9949,722388.725106,4365921.77793,1
9950,722396.46288,4365921.78532,1
9951,722404.200731,4365921.79273,1
9952,722411.938505,4365921.80014,1
9953,722419.676282,4365921.80747,1
9954,722427.414135,4365921.8149,1
9955,722435.151911,4365921.82233,1
9956,722442.889687,4365921.82977,2
9957,722450.627544,4365921.83714,1
9958,722458.365321,4365921.8446,1
9959,722466.103177,4365921.85206,1
9960,722473.840955,4365921.85954,1
9961,722481.578734,4365921.86701,1
9962,722489.316594,4365921.87442,1
9963,722497.054374,4365921.88192,2
9964,722504.792155,4365921.88942,1
9965,722512.530013,4365921.89693,1
9966,722520.267795,4365921.90445,1
9967,722528.005579,4365921.91189,1
9968,722535.74344,4365921.91943,1
9969,722543.481223,4365921.92697,2
9970,722551.219084,4365921.93452,1
9971,722558.956871,4365921.94199,1
9972,722566.694656,4365921.94956,1
9973,722574.432519,4365921.95713,1
9974,722582.170305,4365921.96471,1
9975,722589.908169,4365921.9723,1
9976,722597.645958,4365921.97981,2
10284,722365.506092,4365929.46269,1
10285,722373.243856,4365929.47006,1
10286,722380.981698,4365929.47744,1
10287,722388.719463,4365929.48482,1
10288,722396.457231,4365929.49214,1
10289,722404.195074,4365929.49954,1
10290,722411.932841,4365929.50695,1
10291,722419.670685,4365929.51437,1
10292,722427.408455,4365929.52172,1
10293,722435.146223,4365929.52915,1
10294,722442.88407,4365929.5366,1
10295,722450.621839,4365929.54404,1
10296,722458.359609,4365929.5515,2
10297,722466.097459,4365929.55889,2
10298,722473.83523,4365929.56636,1
10299,722481.573078,4365929.57384,1
10300,722489.31085,4365929.58132,1
10301,722497.048623,4365929.58882,2
10302,722504.786476,4365929.59625,1
10303,722512.524249,4365929.60376,1
10304,722520.262023,4365929.61127,1
10305,722527.999875,4365929.6188,1
